,Day,[Ekans] Number of Jobs Started,[Squirtle] Number of Jobs Started,[Persian] Number of Jobs Started,[Pidgeotto] Number of Jobs Started,[Oddish] Number of Jobs Started,[Golduck] Number of Jobs Started,[Wartortle] Number of Jobs Started,[Clefable] Number of Jobs Started,[Meowth] Number of Jobs Started,[Golbat] Number of Jobs Started,[Sandshrew] Number of Jobs Started,[Nidorina] Number of Jobs Started,[Arbok] Number of Jobs Started,[Zubat] Number of Jobs Started,[Weedle] Number of Jobs Started,[Spearow] Number of Jobs Started,[Jigglypuff] Number of Jobs Started,[Caterpie] Number of Jobs Started,[Wigglytuff] Number of Jobs Started,[Vileplume] Number of Jobs Started,[Pikachu] Number of Jobs Started,[Nidoking] Number of Jobs Started,[Diglett] Number of Jobs Started,[Blastoise] Number of Jobs Started,[Kakuna] Number of Jobs Started,[Dugtrio] Number of Jobs Started,[Vulpix] Number of Jobs Started,[Butterfree] Number of Jobs Started,[Gloom] Number of Jobs Started,[Fearow] Number of Jobs Started,[Pidgeot] Number of Jobs Started,[Clefairy] Number of Jobs Started,[Paras] Number of Jobs Started,[Venusaur] Number of Jobs Started,[Ninetales] Number of Jobs Started,[Psyduck] Number of Jobs Started,[Mankey] Number of Jobs Started,[Raichu] Number of Jobs Started,[Primeape] Number of Jobs Started,[Sandslash] Number of Jobs Started,[Charizard] Number of Jobs Started,[Ivysaur] Number of Jobs Started,[Rattata] Number of Jobs Started,[Venonat] Number of Jobs Started,[Charmander] Number of Jobs Started,[Metapod] Number of Jobs Started,[Charmeleon] Number of Jobs Started,[Pidgey] Number of Jobs Started,[Nidoqueen] Number of Jobs Started,[Parasect] Number of Jobs Started,[Beedrill] Number of Jobs Started,[Bulbasaur] Number of Jobs Started,[Venomoth] Number of Jobs Started,[Nidorino] Number of Jobs Started,[Raticate] Number of Jobs Started
0,1.4984352e+18,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.4985216e+18,1.0,1.0,1.0,3.0,2.0,6.0,0.0,37.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.498608e+18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.4986944e+18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.4987808e+18,4.0,0.0,1.0,4.0,3.0,2.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.4988672e+18,3.0,0.0,3.0,2.0,2.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.4989536e+18,4.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.49904e+18,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.4991264e+18,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.4992128e+18,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
