,Day,[Ekans] Number of Jobs Submitted,[Squirtle] Number of Jobs Submitted,[Persian] Number of Jobs Submitted,[Pidgeotto] Number of Jobs Submitted,[Oddish] Number of Jobs Submitted,[Golduck] Number of Jobs Submitted,[Wartortle] Number of Jobs Submitted,[Clefable] Number of Jobs Submitted,[Meowth] Number of Jobs Submitted,[Golbat] Number of Jobs Submitted,[Sandshrew] Number of Jobs Submitted,[Nidorina] Number of Jobs Submitted,[Zubat] Number of Jobs Submitted,[Weedle] Number of Jobs Submitted,[Spearow] Number of Jobs Submitted,[Jigglypuff] Number of Jobs Submitted,[Arbok] Number of Jobs Submitted,[Caterpie] Number of Jobs Submitted,[Wigglytuff] Number of Jobs Submitted,[Vileplume] Number of Jobs Submitted,[Pikachu] Number of Jobs Submitted,[Nidoking] Number of Jobs Submitted,[Diglett] Number of Jobs Submitted,[Blastoise] Number of Jobs Submitted,[Kakuna] Number of Jobs Submitted,[Dugtrio] Number of Jobs Submitted,[Vulpix] Number of Jobs Submitted,[Butterfree] Number of Jobs Submitted,[Gloom] Number of Jobs Submitted,[Fearow] Number of Jobs Submitted,[Pidgeot] Number of Jobs Submitted,[Clefairy] Number of Jobs Submitted,[Paras] Number of Jobs Submitted,[Venusaur] Number of Jobs Submitted,[Psyduck] Number of Jobs Submitted,[Ninetales] Number of Jobs Submitted,[Mankey] Number of Jobs Submitted,[Raichu] Number of Jobs Submitted,[Primeape] Number of Jobs Submitted,[Sandslash] Number of Jobs Submitted,[Charizard] Number of Jobs Submitted,[Ivysaur] Number of Jobs Submitted,[Rattata] Number of Jobs Submitted,[Venonat] Number of Jobs Submitted,[Charmander] Number of Jobs Submitted,[Metapod] Number of Jobs Submitted,[Charmeleon] Number of Jobs Submitted,[Pidgey] Number of Jobs Submitted,[Nidoqueen] Number of Jobs Submitted,[Parasect] Number of Jobs Submitted,[Beedrill] Number of Jobs Submitted,[Bulbasaur] Number of Jobs Submitted,[Venomoth] Number of Jobs Submitted,[Nidorino] Number of Jobs Submitted,[Raticate] Number of Jobs Submitted
0,1.4984352e+18,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.4985216e+18,1.0,1.0,1.0,2.0,2.0,4.0,0.0,36.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.498608e+18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.4986944e+18,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.4987808e+18,4.0,0.0,1.0,4.0,3.0,2.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.4988672e+18,3.0,0.0,3.0,2.0,2.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.4989536e+18,4.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.49904e+18,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.4991264e+18,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.4992128e+18,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
