day,name,Job_Size_Max_Core_Count,Job_Size_Min_Core_Count,Job_Size_Per_Job_Core_Count,Number_of_Jobs_Running,Number_of_Jobs_Started,Number_of_Jobs_Submitted,Wait_Hours_Per_Job,Wall_Hours_Per_Job,Wall_Hours_Total,Wait_Hours_Total
1,Arbok,1,0,0,0,0,0,0,0,0.554534,1.29707
1,Beedrill,0,0,0,0,0,0,0,0,2.6585,0
1,Blastoise,1,1,1,1,0,0,0,2.99998,6.28294,3.93023
1,Bulbasaur,1,0,0,0,0,0,0.00862955,0,0,4.33642
1,Butterfree,1,0,0,0,0,0,0.10014,0.0548372,5.72815,0
1,Caterpie,0,0,0,0,0,0,0.0338904,0.0204421,0,0
1,Charizard,0,0,0,0,0,0,0.013443,0.0810858,1.77687,5.66645
1,Charmander,1,0,0,0,0,0,0.0337109,0.0113845,0,0
1,Charmeleon,1,0,0,0,0,0,0,0.0599056,0,5.14181
1,Clefable,1,1,1,1,0,0,0,3.02971,6.74178,7.65371
1,Clefairy,1,1,1,1,1,1,0.0300425,0.581993,1.12951,0
1,Diglett,0,0,0,0,0,0,0,0.00508103,4.70355,1.47859
1,Dugtrio,0,0,0,0,0,0,0,0,1.39525,0
1,Ekans,1,1,1,2,0,0,0.0762215,2.78834,34.524,0
1,Fearow,1,1,1,1,1,1,0.0601823,2.35783,4.71566,4.19493
1,Gloom,1,0,0,0,0,0,0.00150874,0.0580692,0,0.798846
1,Golbat,1,1,1,1,1,1,0.0000375,0.63065,4.33137,0.000075
1,Golduck,1,1,1,2,1,1,0.0602661,1.14326,15.0117,0.408171
1,Ivysaur,1,0,0,0,0,0,0,0,2.60734,0
1,Jigglypuff,0,0,0,0,0,0,0.00456773,0,0,0
1,Kakuna,0,0,0,0,0,0,0,0.0232641,0.451217,0.0631914
1,Mankey,0,0,0,0,0,0,0,0,0,0
1,Meowth,1,0,0,0,0,0,0,0,0,0.107244
1,Metapod,1,0,0,0,0,0,0,0.00648438,0,0
1,Nidoking,0,0,0,0,0,0,0.00960266,0,0,0
1,Nidoqueen,0,0,0,0,0,0,0.0309125,0,0,0.711128
1,Nidorina,1,0,0,0,0,0,0,0.0236156,0.848182,0
1,Nidorino,1,1,1,1,0,0,0.0213396,3,3,0.0711143
1,Ninetales,1,0,0,0,0,0,0.0256163,0.0143508,2.22201,5.01263
1,Oddish,1,1,1,16,3,0,9.70819,2.49465,318.654,232.367
1,Paras,1,1,1,1,0,0,0.0836568,3,3.67811,0.894178
1,Parasect,0,0,0,0,0,0,0.00204751,0,0,0
1,Persian,1,1,1,2,1,1,0.0609411,0.449521,4.04569,0.726596
1,Pidgeot,1,0,0,0,0,0,0,0.0212263,0,0.176511
1,Pidgeotto,1,1,1,2,1,0,3.06337,2.93807,40.7767,2.99229
1,Pidgey,0,0,0,0,0,0,0.018729,0.00844154,0,6.48331
1,Pikachu,1,0,0,0,0,0,0.029314,0,1.08736,0.758525
1,Primeape,1,0,0,0,0,0,0.0215959,0.0788538,0,2.20146
1,Psyduck,0,0,0,0,0,0,0,0.000701162,1.30824,1.16031
1,Raichu,0,0,0,0,0,0,0,0,0,2.69382
1,Raticate,1,1,1,1,0,0,0,3,3,0
1,Rattata,0,0,0,0,0,0,0.0528661,0,6.80339,0
